EVENT_TYPE	CATEGORY	TERM	CODE
medication	DM_MONITORING	FreeStyle Lite testing strips (Abbott Laboratories Ltd)	11851311000001100
medication	DM_MONITORING	Advantage Plus testing strips (Roche Diabetes Care Ltd)	16611000001105
medication	DM_MONITORING	OneTouch Ultra testing strips (LifeScan)	211611000001106
medication	DM_MONITORING	FreeStyle Optium testing strips (Abbott Laboratories Ltd)	2958011000001100
medication	DM_MONITORING	Active testing strips (Roche Diabetes Care Ltd)	600411000001103
medication	DM_MONITORING	Contour testing strips (Ascensia Diabetes Care UK Ltd)	7267911000001107
medication	DM_MONITORING	Diastix testing strips (Ascensia Diabetes Care UK Ltd)	75211000001105
medication	DM_MONITORING	OneTouch UltraSoft lancets 0.4mm/28gauge (LifeScan)	9459511000001109
medication	DM_MONITORING	Softclix lancets 0.4mm/28gauge (Roche Diabetes Care Ltd)	9459811000001107
medication	DM_MONITORING	Aviva testing strips (Roche Diabetes Care Ltd)	9488911000001102
medication	DM_MONITORING	Volumatic (GlaxoSmithKline UK Ltd)	9516111000001106
medication	HRT	Elleste Solo 1mg tablets (Exeltis UK Ltd)	2841811000001109
medication	HRT	Climaval 1mg tablets (Novartis Pharmaceuticals UK Ltd)	2845811000001107
medication	HRT	Estraderm TTS 25 patches (Novartis Pharmaceuticals UK Ltd)	2889311000001109
medication	HRT	Estraderm MX 25 patches (Norgine Pharmaceuticals Ltd)	2889611000001104
medication	HRT	Estraderm TTS 50 patches (Novartis Pharmaceuticals UK Ltd)	2942911000001101
medication	HRT	Kliovance tablets (Novo Nordisk Ltd)	3038811000001109
medication	HRT	Climesse tablets (Novartis Pharmaceuticals UK Ltd)	3040311000001103
medication	HRT	Kliofem tablets (Novo Nordisk Ltd)	3043111000001107
medication	HRT	Elleste Duet Conti tablets (Exeltis UK Ltd)	3049511000001101
medication	HRT	Gynest 0.01% cream with applicator (Marlborough Pharmaceuticals Ltd)	3194611000001101
medication	HRT	Nuvelle tablets (Bayer Plc)	3199011000001109
medication	HRT	Estracombi TTS patches (Novartis Pharmaceuticals UK Ltd)	3215411000001100
medication	HRT	Femoston 1/10mg tablets (Exeltis UK Ltd)	3347911000001102
medication	HRT	Tridestra tablets (Orion Pharma (UK) Ltd)	3355511000001103
medication	HRT	Climagest 1mg tablets (Novartis Pharmaceuticals UK Ltd)	3358411000001107
medication	HRT	Elleste Duet 1mg tablets (Exeltis UK Ltd)	3367311000001108
medication	HRT	Estradiol 25microgram pessaries	3405311000001106
medication	HRT	Trisequens tablets (Novo Nordisk Ltd)	3449411000001106
medication	HRT	Prempak-C 0.625mg/0.15mg tablets (Pfizer Ltd)	3470811000001103
medication	HRT	Premarin 0.625mg tablets (Pfizer Ltd)	34911000001102
medication	HRT	Conjugated oestrogens 625microgram tablets	41873411000001105
medication	HRT	Estradiol 1mg / Norethisterone acetate 500microgram tablets	41874811000001105
medication	HRT	Estradiol 2mg / Norethisterone acetate 1mg tablets	41875111000001104
medication	HRT	Tibolone 2.5mg tablets	41882911000001100
medication	HRT	Livial 2.5mg tablets (Organon Pharma (UK) Ltd)	521411000001105
medication	HRT	Premarin 1.25mg tablets (Pfizer Ltd)	546511000001102
medication	HRT	Prempak-C 1.25mg/0.15mg tablets (Pfizer Ltd)	557911000001109
medication	HRT	Ovestin 1mg/g vaginal cream with applicator (Aspen Pharma Trading Ltd)	623311000001109
medication	HRT	Premique 0.625mg/5mg tablets (Pfizer Ltd)	679511000001100
medication	HRT	Vagifem 25microgram vaginal tablets (Novo Nordisk Ltd)	71211000001107
medication	HRT	Premique Low Dose 0.3mg/1.5mg modified-release tablets (Pfizer Ltd)	7340311000001105
medication	OC	Noriday 350microgram tablets (Pfizer Ltd)	167411000001104
medication	OC	Micronor 350microgram tablets (Janssen-Cilag Ltd)	193611000001107
medication	OC	Utovlan 5mg tablets (Pfizer Ltd)	263911000001100
medication	OC	Femodene tablets (Bayer Plc)	3048811000001105
medication	OC	Loestrin 20 tablets (Galen Ltd)	3058111000001101
medication	OC	Loestrin 30 tablets (Galen Ltd)	3058411000001106
medication	OC	Logynon tablets (Bayer Plc)	3213311000001106
medication	OC	Cerazette 75microgram tablets (Organon Pharma (UK) Ltd)	3411311000001106
medication	OC	Cilest 35microgram/250microgram tablets (Janssen-Cilag Ltd)	380211000001105
medication	OC	Levonorgestrel 20micrograms/24hours intrauterine device	39718011000001105
medication	OC	Norethisterone 350microgram tablets	41880611000001105
medication	OC	Microgynon 30 tablets (Bayer Plc)	42111000001107
medication	OC	Levonorgestrel 1.5mg tablets	42295511000001106
medication	OC	Norethisterone 5mg tablets	42297111000001106
medication	OC	Femulen 500microgram tablets (Pfizer Ltd)	462011000001107
medication	OC	Ovranette 150microgram/30microgram tablets (Pfizer Ltd)	492611000001103
medication	OC	Marvelon tablets (Organon Pharma (UK) Ltd)	524211000001108
medication	OC	Dianette tablets (Bayer Plc)	587711000001100
observation	COMORBID_CVD	Disorder of cardiovascular system	49601007
observation	COMORBID_CVD_FH_IHD_LT60	FH: Ischaemic heart disease at less than 60 years	266895004
observation	COMORBID_CVD_FH_IHD_GT60	FH: Ischaemic heart disease at greater than 60 years	266896003
observation	COMORBID_CVD_STATIN_PROPHYL	Statin prophylaxis	315053001
observation	COMORBID_CVD_VARICOSE	Varicose veins of the leg NOS	72866009
observation	COMORBID_IHD	Ischaemic heart disease NOS	414545008
observation	COMORBID_DM	At risk of diabetes mellitus	161641009
observation	COMORBID_DM	Insulin dependent diabetes mellitus	73211009
observation	COMORBID_DM_FOOT	O/E - left foot pulses present	390888009
observation	COMORBID_DM_FOOT	O/E - vibration sense left foot reduced	395149007
observation	COMORBID_DM_FOOT	O/E - right foot pulses present	390889001
observation	COMORBID_DM_FOOT	O/E - vibration sense right foot reduced	395150007
observation	COMORBID_DM_EYE	Fundoscopy - diabetic check	170757007
observation	COMORBID_DM_FOOT	10g monofilament sensation present	390931008
observation	COMORBID_DM_FOOT	Monofilament foot sensation test	134388005
observation	COMORBID_DM_FOOT	Diabetic peripheral neuropathy screening	401081006
observation	COMORBID_DM_EYE	Retinopathy follow up	313987006
observation	COMORBID_DM_EYE	Diabetic retinopathy screening declined	839811000000106
observation	COMORBID_HYPERCHOL	Pure hypercholesterolaemia NOS	267432004
observation	COMORBID_HTN	Benign essential hypertension	1201005
observation	COMORBID_HTN	Hypertensive disorder	38341003
observation	COMORBID_DM	[D]Prediabetes	9414007
observation	LAB_HBA1C	Hb. A1C - diabetic control	269823000
observation	LAB_LIPIDS	Plasma lipids	1003431000000105
observation	LAB_LIPIDS	Lipoprotein electrophoresis	1005701000000109
observation	LAB_LIPIDS	Plasma HDL (high density lipoprotein) cholesterol level	1010581000000101
observation	LAB_LIPIDS	Plasma LDL (low density lipoprotein) cholesterol level	1010591000000104
observation	LAB_LIPIDS	Plasma triglyceride level	1010601000000105
observation	LAB_LIPIDS	Serum high density lipoprotein:non-high density lipoprotein cholesterol ratio	1015271000000109
observation	LAB_LIPIDS	Plasma total cholesterol level	1017161000000104
observation	LAB_LIPIDS	Serum cholesterol studies	1026441000000100
observation	LAB_LIPIDS	Serum fasting HDL (high density lipoprotein) cholesterol level	1026451000000102
observation	LAB_LIPIDS	Serum fasting LDL (low density lipoprotein) cholesterol level	1026471000000106
observation	LAB_LIPIDS	Serum fasting triglyceride level	1026491000000105
observation	LAB_LIPIDS	Serum fasting lipoprotein level	1026721000000103
observation	LAB_LIPIDS	Total cholesterol:HDL (high density lipoprotein) ratio	1028551000000102
observation	LAB_LIPIDS	Fasting blood lipids	1029061000000102
observation	LAB_LIPIDS	High density/low density lipoprotein ratio	1029071000000109
observation	LAB_LIPIDS	Non high density lipoprotein cholesterol level	1030411000000101
observation	LAB_LIPIDS	High density lipoprotein/total cholesterol ratio	1031421000000101
observation	LAB_LIPIDS	Fasting serum cholesterol	667191000006107
observation	LAB_LIPIDS	Fasting triglycerides	854481000006106
observation	LAB_LIPIDS	Fasting lipids	854781000006103
observation	LAB_LIPIDS	LDL cholesterol level	857141000006100
observation	LAB_LIPIDS	Estimated serum non-high density lipoprotein cholesterol level	920471000000100
observation	LIFE_BMI	Ideal body weight	170804003
observation	LIFE_BMI	Increased body mass index	48499001
observation	LIFE_BMI	Weight management service opportunity signposted	783041000000106
observation	LIFE_ALCOHOL	Drinks wine	160591008
observation	LIFE_ALCOHOL	Alcohol questionnaire completed	413475007
observation	LIFE_ALCOHOL	Alcoholic beverage intake	897148007
observation	LIFE_ALC_EDU	Education about alcohol consumption	281078001
observation	LIFE_ALC_SCREEN	Alcohol screen - alcohol use disorder identification test completed	285381000000108
observation	LIFE_ALC_SCREEN	Alcohol screen - fast alcohol screening test completed	285411000000105
observation	LIFE_ALC_SCREEN	Alcohol screen - alcohol use disorder identification test consumption questions completed	285441000000106
observation	LIFE_DIET	Dietary advice	11816003
observation	LIFE_DIET	Patient-initiated diet	160660005
observation	LIFE_DIET	Low fat diet	16208003
observation	LIFE_DIET	Dietary sodium - low	162526000
observation	LIFE_DIET	Dietary salt intake	309544001
observation	LIFE_DIET	Weight reduction diet	359649009
observation	LIFE_DIET	Low sodium diet	386619000
observation	LIFE_DIET	Number of portions of fruit and vegetables daily	401070008
observation	LIFE_DIET	Dietary advice given	854971000006104
observation	LIFE_PHYSACT	Exercise grading NOS	160628002
observation	LIFE_PHYSACT	Takes inadequate exercise	160652009
observation	LIFE_PHYSACT	Less than 30 minutes a day of at least moderate intensity physical activity on five or more days of the week	366061000000101
observation	LIFE_PHYSACT	General practice physical activity questionnaire	770231000000109
observation	LIFE_PHYSACT	Grade B moderately active	855041000006107
observation	LIFE_SMOKE_CO	Expired carbon monoxide concentration	251900003
observation	LIFE_SMOKING	Trying to give up smoking	160616005
observation	LIFE_SMOKING	Stopped smoking	160617001
observation	LIFE_SMOKING	Current non-smoker	160618006
observation	LIFE_SMOKING	Date ceased smoking	160625004
observation	LIFE_SMOKING	Tobacco smoking consumption	266918002
observation	LIFE_SMOKING	Thinking about stopping smoking	394871007
observation	LIFE_SMOKING	Minutes from waking to first tobacco consumption	413173009
observation	LIFE_SMOKING	Cigarette smoker	65568007
observation	REPRO_PMS	Premenstrual tension syndrome	82639001
observation	REPRO_TAH	Total abdominal hysterectomy	116143008
observation	REPRO_TAH_BSO	Total abdominal hysterectomy with bilateral salpingo-oophorectomy	116144002
observation	REPRO_ATROPHIC_VAG	Senile (atrophic) vaginitis	52441000
observation	REPRO_MENOPAUSE	Menopause symptoms present	170951000
observation	REPRO_MENOPAUSE	Menopausal hot flushes	198436008
observation	REPRO_PARITY	Prenatal examination and care of mother	18114009
observation	FAMHX_BREAST_OVARIAN	Family history of neoplasm of breast	313102001
observation	FAMHX_BREAST_OVARIAN	Family history of malignant neoplasm of breast	429740004
observation	LAB_LIPIDS	Plasma cholesterol/HDL (high density lipoprotein) ratio	1015691000000106
observation	LAB_LIPIDS	Lipid level	1020831000000109
medication	HRT	Progynova 2mg tablets (Bayer Plc)	2845411000001105
medication	HRT	Zumenon 1mg tablets (Viatris UK Healthcare Ltd)	2842511000001103
medication	HRT	Novofem tablets (Novo Nordisk Ltd)	4499111000001107
observation	SYMPTOM_BREAST_LUMP	Lumpy breasts	89164003
observation	SYMPTOM_BREAST_LUMP	Breast lump symptom NOS	162160003
observation	SYMPTOM_BREAST_LUMP	Breast lump present	162162006
observation	SYMPTOM_BREAST_LUMP	Breast lump detected by self-examination	198011000000108
observation	SYMPTOM_BREAST_LUMP	Lump in axilla	853681000006106
observation	SYMPTOM_BREAST_LUMP	[D]Local superficial swelling, mass or lump	496471000000109
