EVENT_TYPE	CATEGORY	TERM	CODE
OBS	BLOOD_COUNT_ABNORMALITIES	Lymphocytosis	67023009
OBS	BLOOD_COUNT_ABNORMALITIES	Lymphocytosis - absolute	165531008
OBS	BLOOD_COUNT_ABNORMALITIES	Lymphocyte count abnormal	165534000
OBS	BLOOD_COUNT_ABNORMALITIES	Abnormal lymphocyte count	1052251000000101
OBS	BLOOD_COUNT_ABNORMALITIES	Leukocytosis	111583006
OBS	BLOOD_COUNT_ABNORMALITIES	Leucocytosis	414478003
OBS	BLOOD_COUNT_ABNORMALITIES	Monocytosis	19636003
OBS	BLOOD_COUNT_ABNORMALITIES	Neutropenia	165517008
OBS	BLOOD_COUNT_ABNORMALITIES	Neutrophilia	165518003
OBS	BLOOD_COUNT_ABNORMALITIES	Pancytopenia	127034005
OBS	BLOOD_COUNT_ABNORMALITIES	White cell count abnormal	165509000
OBS	BLOOD_COUNT_ABNORMALITIES	Full blood count outside reference range	165408006
OBS	BLOOD_COUNT_ABNORMALITIES	Thrombocytopenic disorder	302215000
OBS	BLOOD_COUNT_ABNORMALITIES	Platelet count abnormal	165558001
OBS	BLOOD_COUNT_ABNORMALITIES	Thrombocytosis	6631009
OBS	BLOOD_COUNT_ABNORMALITIES	Macrocytic anemia	83414005
OBS	BLOOD_COUNT_ABNORMALITIES	Macrocytosis	397073000
OBS	BLOOD_COUNT_ABNORMALITIES	Myelodysplastic syndrome	128623006
OBS	BLOOD_COUNT_ABNORMALITIES	Large unstained cells	993551000000106
OBS	BLOOD_COUNT_ABNORMALITIES	Blast cell count	1022601000000101
OBS	BLOOD_COUNT_ABNORMALITIES	Promyelocyte count	1022611000000104
OBS	BLOOD_COUNT_ABNORMALITIES	Myelocyte count	1022621000000105
OBS	BLOOD_COUNT_ABNORMALITIES	Metamyelocyte count	1022631000000107
OBS	BLOOD_COUNT_ABNORMALITIES	Percentage myelocyte count	1019521000000109
OBS	BLOOD_COUNT_ABNORMALITIES	Anaemia	271737000
OBS	BLOOD_COUNT_ABNORMALITIES	Haemoglobin low	165397008
OBS	B_SYMPTOMS	[D]Tiredness	267031002
OBS	B_SYMPTOMS	Malaise - symptom	367391008
OBS	B_SYMPTOMS	[D]Lethargy	214264003
OBS	B_SYMPTOMS	Pyrexia symptoms	248427009
OBS	B_SYMPTOMS	Pyrexia of unknown origin	7520000
OBS	B_SYMPTOMS	Feels hot/feverish	373904004
OBS	B_SYMPTOMS	Temperature symptoms	271399003
OBS	B_SYMPTOMS	Weight decreasing	161832001
OBS	LYMPHADENOPATHY	Cervical lymphadenopathy	127086001
OBS	LYMPHADENOPATHY	[D]Swollen glands	30746006
OBS	LYMPHADENOPATHY	Mass of neck	299703001
OBS	LYMPHADENOPATHY	Groin mass	281398003
OBS	LYMPHADENOPATHY	Mass of axilla	300863000
OBS	LYMPHADENOPATHY	[D]Splenomegaly NOS	16294009
OBS	BLEEDING_BRUISING	Bruising symptom	161885008
OBS	BLEEDING_BRUISING	Spontaneous bruising	161887000
OBS	BLEEDING_BRUISING	Haematoma	385494008
OBS	BLEEDING_BRUISING	Complaining of per vaginam bleeding	275570002
OBS	BLEEDING_BRUISING	Gastrointestinal haemorrhage	74474003
OBS	INFECTION	Chesty cough	161929000
OBS	INFECTION	Complaining of cough	272039006
OBS	INFECTION	Sore throat symptom NOS	267102003
OBS	INFECTION	Throat soreness	162397003
OBS	INFECTION	Throat infection - pharyngitis	405737000
OBS	INFECTION	Acute tonsillitis	17741008
OBS	INFECTION	Other acute upper respiratory infections	54398005
OBS	INFECTION	Upper respiratory infection NOS	54150009
OBS	INFECTION	Influenza-like illness	95891005
OBS	INFECTION	Acute lower respiratory tract infection	195742007
OBS	INFECTION	Acute respiratory infections	195647007
OBS	INFECTION	Acute bronchitis	10509002
OBS	INFECTION	Acute wheezy bronchitis	275499005
OBS	INFECTION	Acute exacerbation of asthma	708038006
OBS	INFECTION	Lobar pneumonia	278516003
OBS	INFECTION	Observation of frequency of urination	300471006
OBS	INFECTION	Vaginal discharge symptom	162156001
OBS	INFECTION	Acute cystitis	68226007
OBS	INFECTION	Neutropenic sepsis	443980004
OBS	INFECTION	Septicaemia	91302008
OBS	INFECTION	Epstein-Barr virus serology	1009801000000100
OBS	INFECTION	Epstein-Barr virus viral capsid antigen IgM level	1004861000000100
OBS	INFECTION	Epstein-Barr virus capsid IgG level	995991000000106
OBS	INFECTION	Epstein-Barr virus nuclear IgG level	996001000000105
