TERM,SNOMED_ID,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Systolic arterial pressure,72313002,69.000,178553,277829,0.642672,393919,2.21,NaN,138,NaN,140
Diastolic arterial pressure,1091811000000102,69.000,178535,277829,0.642608,393804,2.21,NaN,79,NaN,80
O/E - blood pressure reading,163020007,69.000,176825,277829,0.636453,388515,2.2,NaN,NaN,NaN,NaN
Serum creatinine level,1000731000000107,69.000,160379,277829,0.577258,258537,1.61,NaN,78,NaN,74
Serum potassium level,1000651000000109,69.000,159387,277829,0.573687,254187,1.59,NaN,4.4,NaN,4.3
Serum sodium level,1000661000000107,69.000,159354,277829,0.573569,253945,1.59,NaN,140,NaN,140
Serum albumin level,1000821000000103,69.000,145694,277829,0.524402,219082,1.5,NaN,42,NaN,42
Serum alkaline phosphatase level,1000621000000104,69.000,143986,277829,0.518254,213935,1.49,NaN,80,NaN,72
Serum cholesterol level,1005671000000105,69.000,133022,277829,0.478791,174857,1.31,NaN,4.6,NaN,4.3
Haemoglobin estimation,1022431000000105,69.000,132108,277829,0.475501,203012,1.54,NaN,133,NaN,137
Platelet count,1022651000000100,69.000,131940,277829,0.474896,202209,1.53,NaN,255,NaN,240
MCV - Mean corpuscular volume,1022491000000106,69.000,131794,277829,0.474371,201549,1.53,NaN,91.3,NaN,91
Total white cell count,1022541000000102,69.000,131624,277829,0.473759,201704,1.53,NaN,6.75,NaN,6.3
Neutrophil count,1022551000000104,69.000,131494,277829,0.473291,201107,1.53,NaN,3.9,NaN,3.5
Serum high density lipoprotein cholesterol level,1005681000000107,69.000,131448,277829,0.473126,168398,1.28,NaN,1.4,NaN,1.2
Lymphocyte count,1022581000000105,69.000,131398,277829,0.472946,200683,1.53,NaN,1.9,NaN,1.8
Monocyte count,1022591000000107,69.000,131326,277829,0.472686,200460,1.53,NaN,0.5,NaN,0.5
Eosinophil count,1022561000000101,69.000,131291,277829,0.47256,200472,1.53,NaN,0.19,NaN,0.1
Red blood cell count,1022451000000103,69.000,131207,277829,0.472258,200751,1.53,NaN,4.57,NaN,4.5
MCH - Mean corpuscular haemoglobin,1022471000000107,69.000,131198,277829,0.472226,200335,1.53,NaN,30.1,NaN,30
Basophil count,1022571000000108,69.000,129913,277829,0.467601,198112,1.52,NaN,0.03,NaN,0
Liver function test,997531000000108,69.000,128519,277829,0.462583,187738,1.46,NaN,NaN,NaN,NaN
Haematocrit,1022291000000105,69.000,125318,277829,0.451062,191524,1.53,NaN,0.417,NaN,0.41
Body weight,27113001,69.000,122309,277829,0.440231,182217,1.49,NaN,78,NaN,70
Serum urea level,1028131000000104,69.000,122019,277829,0.439187,191545,1.57,NaN,5.7,NaN,5.3
FBC - full blood count,1022441000000101,69.000,120454,277829,0.433554,183956,1.53,NaN,NaN,NaN,NaN
Serum alanine aminotransferase level,1018251000000107,69.000,119927,277829,0.431658,176072,1.47,NaN,21,NaN,18
MCHC - Mean corpuscular haemoglobin concentration,1022481000000109,69.000,118987,277829,0.428274,181598,1.53,NaN,322,NaN,333
Body mass index,60621009,69.000,117288,277829,0.422159,171399,1.46,NaN,28.3,NaN,26
GFR (glomerular filtration rate) calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation,1020291000000106,69.000,116611,277829,0.419722,185159,1.59,NaN,76,NaN,90
Serum cholesterol/high density lipoprotein ratio,1015681000000109,69.000,106658,277829,0.383898,135379,1.27,NaN,3.3,NaN,3.1
Serum triglycerides level,1005691000000109,69.000,106651,277829,0.383873,133761,1.25,NaN,1.4,NaN,1.1
Red blood cell distribution width,993501000000105,69.000,106283,277829,0.382548,162505,1.53,NaN,13.5,NaN,13.2
Haemoglobin A1c level - International Federation of Clinical Chemistry and Laboratory Medicine standardised,999791000000106,69.000,105683,277829,0.380389,148997,1.41,NaN,43,NaN,39
Serum TSH (thyroid stimulating hormone) level,1022791000000101,69.000,105121,277829,0.378366,134130,1.28,NaN,1.85,NaN,NaN
Serum low density lipoprotein cholesterol level,1022191000000100,69.000,94459,277829,0.33999,117986,1.25,NaN,2.5,NaN,2.1
Blood sample taken,916221000006100,69.000,88519,277829,0.31861,160398,1.81,NaN,NaN,NaN,NaN
Urea and electrolytes level,1000971000000107,69.000,86917,277829,0.312844,135735,1.56,NaN,NaN,NaN,NaN
Serum total bilirubin level,997591000000109,69.000,86707,277829,0.312088,122462,1.41,NaN,9,NaN,8
Serum lipids level,1005661000000103,69.000,86267,277829,0.310504,109297,1.27,NaN,NaN,NaN,NaN
Standing height,248333004,69.000,85452,277829,0.30757,106791,1.25,NaN,165.1,NaN,160
Pulse rate,78564009,69.000,82570,277829,0.297197,128239,1.55,NaN,74,NaN,80
